model,split,MAE,R2,MSE
RF,train,0.0993250787661407,0.98967689199622,0.41524176360464554
RF,test,0.23566420998278775,0.9859679079463959,0.5244989751005831
SGD,train,0.2214280980043847,0.9375800261802172,2.5108116667568936
SGD,test,0.18866959267152972,0.9953105150845903,0.17528605303371414
MLP,train,0.28092246523266656,0.9366594720626688,2.5478404874496907
MLP,test,0.2553023102497229,0.9938790366511236,0.22879261273726179
BR,train,0.2139095024471078,0.937611305096177,2.509553488287579
BR,test,0.181014932246546,0.9953928070931501,0.17221009871530354
