model,split,MAE,R2,MSE
RF,train,2.477413217156656,0.9951021512088786,9.834009203139304
RF,test,6.63444684564031,0.9650296535883837,70.08422618628661
SGD,train,6.783394062157814,0.9631777128260515,73.93260314725629
SGD,test,6.7313947096984394,0.9642710429649054,71.6045610979679
MLP,train,6.089564424730436,0.9708811355617905,58.465500484500446
MLP,test,6.211348559299962,0.9699014866853455,60.32056389108301
BR,train,6.781313035326671,0.9632474697877857,73.79254357560912
BR,test,6.720214818863964,0.964402397390739,71.34131311116411
