Index,Y_Actual,Y_Predict,Structure_Index,Per_Structure_SHAP,Y_Pred_minus_Per_Structure_SHAP
1501,332.3607788085937,329.8444,1501,-14.551230036801938,344.39563003680195
2586,363.74658203125,362.63995,2586,17.23301532075569,345.40693467924433
2653,386.0527038574219,370.8345,2653,27.800731099033435,343.03376890096655
1055,368.6796875,378.9301,1055,39.53534096190207,339.3947590380979
705,336.421630859375,335.57196,705,-2.1620785075649263,337.7340385075649
106,343.4995422363281,331.978,106,-10.20799254583414,342.18599254583415
589,371.1104736328125,371.31876,589,27.07244283576493,344.24631716423505
2468,355.6391906738281,359.49762,2468,18.52251196254623,340.97510803745377
2413,368.9942321777344,353.98724,2413,11.591634328053242,342.3956056719467
1600,299.9168701171875,286.61935,1600,-56.6916330298951,343.3109830298951
2464,292.28131103515625,288.36563,2464,-55.9711856607201,344.3368156607201
228,309.7115173339844,318.47684,228,-27.852379758858905,346.32921975885887
915,352.9653015136719,359.30328,915,12.956996169178971,346.346283830821
794,319.9065246582031,324.07538,794,-25.960062580794435,350.03544258079444
3021,389.7989807128906,377.71524,3021,32.85104228210666,344.8641977178933
3543,337.02215576171875,346.0546,3543,-0.3571886707349199,346.4117886707349
1073,363.3748168945313,360.71198,1073,14.250449924902115,346.46153007509787
3351,362.4168090820313,362.84244,3351,17.962067542886462,344.88037245711354
1744,378.6745300292969,367.2798,1744,20.65340917659331,346.6263908234067
1084,364.2184448242188,365.86636,1084,18.2730680354179,347.5932919645821
926,368.3364868164063,375.8842,926,31.981466554559105,343.9027334454409
3049,368.77978515625,377.69058,3049,33.51173626799112,344.1788437320089
1117,347.5174865722656,347.74713,1117,0.4183862064417032,347.3287437935583
642,376.2437438964844,370.68478,642,26.33533732803676,344.34944267196323
4767,355.99664306640625,360.00092,4767,16.678945668332144,343.3219743316679
501,352.0644836425781,354.42935,501,4.180869945897493,350.2484800541025
4066,388.0545043945313,387.3115,4066,42.55271023141247,344.7587897685876
333,319.02001953125,320.9093,333,-24.051594465897352,344.96089446589735
4684,304.5639343261719,310.07907,4684,-35.66831786423194,345.74738786423194
486,370.33831787109375,374.6533,486,31.467665485232285,343.18563451476774
1962,363.1603393554688,366.62503,1962,20.86140743959225,345.7636225604077
393,354.73834228515625,355.9628,393,13.655980753850896,342.30681924614913
4842,394.7320556640625,396.29202,4842,54.50431715800951,341.7877028419905
4866,343.1992492675781,338.9195,4866,-6.040476078134206,344.9599760781342
1755,350.92059326171875,346.9089,1755,1.3002890057722492,345.6086109942278
2515,271.3050231933594,287.74045,2515,-58.50758728442204,346.248037284422
3585,358.32733154296875,362.313,3585,14.55995071491489,347.7530492850851
4315,291.6521301269531,278.80414,4315,-65.95510962746818,344.7592496274682
4966,369.4946899414063,366.73236,4966,22.918926596838677,343.81343340316135
2099,317.7188415527344,321.21558,2099,-21.99787639170515,343.21345639170517
3599,400.2084655761719,398.17838,3599,54.747925012943945,343.43045498705607
4121,372.7833862304688,373.61398,4121,29.242821892104804,344.3711581078952
29,400.6231384277344,387.171,29,43.94248891834123,343.2285110816588
65,333.2901916503906,325.8016,65,-18.78413713391842,344.5857371339184
838,351.278076171875,360.4182,838,17.806220734910113,342.6119792650899
3906,373.2266845703125,372.15732,3906,27.663423410050985,344.49389658994903
3773,360.6294555664063,363.8473,3773,22.181515361525907,341.6657846384741
4635,384.9802551269531,375.32397,4635,33.85550173498679,341.4684682650132
3161,297.44317626953125,293.1699,3161,-48.33262590312236,341.5025259031223
2659,360.6866455078125,363.77917,2659,18.824855461820334,344.9543145381797
4615,354.8241577148437,357.0075,4615,8.418424838319968,348.58907516168
4628,317.4614562988281,315.3852,4628,-30.651389452221125,346.0365894522211
2451,349.6908874511719,345.74057,2451,-5.964109315932426,351.7046793159324
2846,305.49334716796875,305.2581,2846,-41.28035530713015,346.53845530713016
1144,356.010986328125,353.03555,1144,5.546396228347122,347.48915377165287
3078,318.6196594238281,318.4169,3078,-28.394306683410814,346.81120668341083
1103,377.4447937011719,375.4703,1103,32.236873528072245,343.23342647192777
168,345.77301025390625,343.94907,168,-3.6169500407917674,347.5660200407918
1670,351.80712890625,350.65396,1670,5.712284326413942,344.941675673586
2570,352.3790588378906,351.5862,2570,10.10958696925774,341.47661303074227
2377,312.0279235839844,310.57367,2377,-34.195575625473765,344.7692456254738
4395,353.2655944824219,347.26962,4395,0.8700907895135026,346.3995292104865
4257,310.3406677246094,310.69217,4257,-38.94338233920526,349.6355523392052
3862,355.1673278808594,363.81747,3862,17.19521374595612,346.6222562540439
23,331.8746032714844,331.11392,23,-10.698124183647522,341.8120441836475
2633,283.1300964355469,283.59415,2633,-66.05486237304501,349.649012373045
3340,367.9647216796875,348.12863,3340,4.054348233973596,344.0742817660264
2215,353.6945495605469,349.17502,2215,4.015321188179442,345.1596988118206
3682,355.35321044921875,351.44186,3682,6.857917160036993,344.583942839963
4724,318.2764892578125,325.41125,4724,-16.195492896089327,341.6067428960893
1907,305.77935791015625,306.18143,1907,-38.13156672211643,344.3129967221164
84,340.4109802246094,348.22495,84,0.8561056325460532,347.3688443674539
227,275.1370544433594,280.41608,227,-64.3147615581132,344.73084155811324
296,295.1267395019531,295.48398,296,-52.289270985493495,347.77325098549346
1001,388.5406494140625,379.15668,1001,31.51764468450309,347.6390353154969
2138,348.6756896972656,332.88876,2138,-10.100851540394096,342.9896115403941
711,298.6013488769531,296.6459,711,-42.5397210797891,339.1856210797891
2801,381.1625061035156,384.05026,2801,37.61741080467436,346.4328491953256
2527,361.3872985839844,355.68985,2527,12.194994425271844,343.49485557472815
3752,362.4311218261719,353.19507,3752,5.5851194594483164,347.60995054055167
3321,371.4393310546875,363.98865,3321,17.27849075652281,346.7101592434772
3181,362.3453063964844,353.6542,3181,8.497221718950303,345.1569782810497
4183,367.82177734375,370.24258,4183,30.900124621052026,339.34245537894793
1615,294.62628173828125,286.7173,1615,-60.63817029774135,347.35547029774136
3024,306.5657958984375,305.8784,3024,-40.410675506420375,346.2890755064204
1413,383.7505493164063,380.80234,1413,36.90806569990513,343.8942743000949
763,282.5152282714844,283.72098,763,-62.47184479731138,346.19282479731135
655,327.1131591796875,314.58746,655,-32.75932377795179,347.3467837779518
4797,372.2114868164063,367.84445,4797,23.482015067564934,344.36243493243506
3849,365.8771057128906,357.625,3849,10.51724209373717,347.1077579062628
4153,357.1691589355469,364.40915,4153,21.776935247659,342.632214752341
468,371.0246887207031,365.05304,468,23.500502318648987,341.552537681351
157,299.8024597167969,295.42798,157,-50.74235904732036,346.17033904732034
1295,378.60302734375,380.3492,1295,34.99972476227773,345.3494752377223
497,386.1528015136719,376.4667,497,31.616552105840334,344.85014789415965
4740,385.1090087890625,386.26675,4740,43.45170635830984,342.8150436416902
2940,351.66412353515625,343.82693,2940,-2.590218140985656,346.41714814098566
3456,297.71484375,297.55835,3456,-47.06519954332496,344.623549543325
373,393.6024169921875,392.30692,373,42.90167985568384,349.40524014431617
79,344.8007202148437,367.1059,79,23.05945359917694,344.0464464008231
1553,335.4064636230469,351.47867,1553,7.93539369671168,343.54327630328834
1669,275.3658447265625,282.7414,1669,-60.94593438179544,343.68733438179544
2131,337.22235107421875,342.947,2131,-0.7794155961872704,343.7264155961873
4439,321.7796936035156,311.40283,4439,-34.898261486988005,346.301091486988
465,361.7161865234375,367.67136,465,21.71022843672757,345.96113156327243
248,278.59735107421875,288.13705,248,-56.6886567551892,344.8257067551892
931,384.322509765625,381.24258,931,31.41927238026295,349.823307619737
1335,334.5484924316406,327.8365,1335,-18.688348129291093,346.5248481292911
4524,367.6358642578125,362.27115,4524,12.736943648574428,349.53420635142555
1338,305.6506652832031,311.35703,1338,-35.68400360110843,347.04103360110844
1406,340.453857421875,341.44507,1406,-11.57778938485545,353.02285938485545
1090,312.1137084960937,316.56204,1090,-31.344578255097648,347.90661825509767
4209,333.8335876464844,353.0931,4209,6.832607518566395,346.2604924814336
742,353.0653991699219,343.503,742,-3.706271970537979,347.20927197053794
2323,357.8268737792969,361.10178,2323,14.113882649470565,346.98789735052947
3601,334.3340148925781,339.39343,3601,-7.199453193342981,346.592883193343
2123,354.30938720703125,353.6796,2123,11.262944555021836,342.4166554449782
2094,353.8089294433594,356.7619,2094,13.721148122328067,343.04075187767194
240,413.4348449707031,402.0305,240,59.72870001664346,342.30179998335655
2351,279.2408142089844,275.94345,2351,-72.63182057793574,348.5752705779357
1370,373.669921875,377.57922,1370,30.972443121195347,346.6067768788047
1057,271.6910400390625,283.4163,1057,-60.80748404860808,344.2237840486081
4816,347.7891540527344,342.7347,4816,3.912098870152801,338.82260112984716
199,339.3671569824219,341.79208,199,-5.414102825469518,347.2061828254695
2280,329.2436218261719,331.15573,2280,-11.30814031725869,342.4638703172587
4749,364.876220703125,356.8782,4749,11.389930663175791,345.4882693368242
2220,345.42987060546875,357.0887,2220,13.898966056165625,343.18973394383437
4771,315.6455078125,320.36105,4771,-21.888810613887568,342.24986061388756
2819,391.5577087402344,384.92896,2819,39.380620083369806,345.5483399166302
3150,379.9184875488281,377.43326,3150,27.20958670207458,350.2236732979254
4256,356.4399108886719,358.74295,4256,15.56479478596097,343.17815521403907
