Structure_Index,Per_Structure_SHAP
1501,-14.551230036801938
2586,17.23301532075569
2653,27.800731099033435
1055,39.53534096190207
705,-2.1620785075649263
106,-10.20799254583414
589,27.072442835764935
2468,18.52251196254623
2413,11.591634328053242
1600,-56.6916330298951
2464,-55.9711856607201
228,-27.852379758858905
915,12.956996169178973
794,-25.960062580794435
3021,32.85104228210666
3543,-0.3571886707349199
1073,14.250449924902117
3351,17.962067542886462
1744,20.65340917659331
1084,18.2730680354179
926,31.981466554559105
3049,33.51173626799112
1117,0.4183862064417032
642,26.335337328036758
4767,16.678945668332144
501,4.180869945897493
4066,42.55271023141247
333,-24.051594465897352
4684,-35.66831786423194
486,31.467665485232285
1962,20.861407439592252
393,13.655980753850896
4842,54.50431715800951
4866,-6.040476078134206
1755,1.3002890057722492
2515,-58.50758728442204
3585,14.55995071491489
4315,-65.95510962746818
4966,22.918926596838674
2099,-21.99787639170515
3599,54.747925012943945
4121,29.242821892104804
29,43.94248891834123
65,-18.78413713391842
838,17.806220734910113
3906,27.663423410050985
3773,22.181515361525907
4635,33.85550173498679
3161,-48.33262590312236
2659,18.824855461820338
4615,8.418424838319968
4628,-30.651389452221125
2451,-5.964109315932426
2846,-41.28035530713015
1144,5.546396228347122
3078,-28.394306683410818
1103,32.236873528072245
168,-3.6169500407917665
1670,5.712284326413942
2570,10.10958696925774
2377,-34.195575625473765
4395,0.8700907895135026
4257,-38.94338233920526
3862,17.19521374595612
23,-10.698124183647522
2633,-66.05486237304501
3340,4.054348233973596
2215,4.015321188179442
3682,6.857917160036993
4724,-16.195492896089327
1907,-38.13156672211643
84,0.8561056325460532
227,-64.3147615581132
296,-52.289270985493495
1001,31.517644684503086
2138,-10.100851540394096
711,-42.5397210797891
2801,37.61741080467436
2527,12.194994425271844
3752,5.5851194594483164
3321,17.27849075652281
3181,8.497221718950303
4183,30.900124621052026
1615,-60.63817029774135
3024,-40.410675506420375
1413,36.90806569990513
763,-62.471844797311384
655,-32.75932377795179
4797,23.482015067564934
3849,10.51724209373717
4153,21.776935247658997
468,23.500502318648987
157,-50.742359047320356
1295,34.99972476227773
497,31.616552105840338
4740,43.451706358309835
2940,-2.590218140985656
3456,-47.06519954332496
373,42.90167985568384
79,23.05945359917694
1553,7.93539369671168
1669,-60.94593438179544
2131,-0.7794155961872704
4439,-34.898261486988005
465,21.710228436727572
248,-56.6886567551892
931,31.41927238026295
1335,-18.688348129291093
4524,12.736943648574428
1338,-35.68400360110843
1406,-11.57778938485545
1090,-31.344578255097648
4209,6.832607518566395
742,-3.706271970537979
2323,14.113882649470565
3601,-7.199453193342981
2123,11.262944555021837
2094,13.721148122328069
240,59.72870001664346
2351,-72.63182057793574
1370,30.972443121195347
1057,-60.807484048608075
4816,3.9120988701528012
199,-5.414102825469518
2280,-11.30814031725869
4749,11.389930663175793
2220,13.898966056165625
4771,-21.888810613887568
2819,39.380620083369806
3150,27.20958670207458
4256,15.56479478596097
3107,-59.427444209491085
1973,-29.936434155412655
1375,21.438004143853817
3968,28.959569898659975
4062,-68.53275040885863
4445,-50.854485511567546
3557,-33.627940800448556
964,23.527750639850524
179,-51.46323788864061
3698,32.57078098092894
3821,-20.458536640506043
4878,-36.86984830129212
3899,16.56742950363761
4487,-20.483240209314257
3238,-12.320787823263046
2974,-59.725682049481755
3580,8.56187200105339
2887,28.87965304131579
2575,31.266902812256436
1419,-36.114362318222405
3907,23.488000375728454
4673,37.2057181811957
4902,-27.6275527737431
1860,35.07297669424937
8,-10.672571287347509
2894,-8.30035172395468
2847,-65.58965972902425
3664,-0.7094036378996642
144,43.126200768017945
2104,20.399097311848784
3143,18.37427001265221
841,19.370095002896903
1128,31.629183152792354
151,-27.904905975124787
3591,25.68002081605583
1052,-34.32150176743564
1590,-38.12364367663941
3008,22.10982351582499
2029,16.052580080839782
3418,35.3075911546814
1807,27.236277675064258
2696,31.367897164232414
3039,10.331670699635321
472,-7.5184316299010945
3289,54.29125795228326
4074,5.124741582403186
3496,-15.366310777643163
279,11.052841949101133
1741,-21.21642626670894
4624,54.647680434996175
2886,-57.52961653144338
1941,6.266908676061651
100,21.913650767290584
2804,-9.776779009692508
3570,-47.37309450664704
3684,-36.81282889045987
3661,4.77169124134439
530,9.181555280858756
1886,-60.270038533070505
