Index,Y_Value
1501,332.36077880859375
2586,363.74658203125
2653,386.0527038574219
1055,368.6796875
705,336.421630859375
106,343.4995422363281
589,371.1104736328125
2468,355.6391906738281
2413,368.9942626953125
1600,299.9168701171875
2464,292.28131103515625
228,309.7115173339844
915,352.9653015136719
794,319.9065246582031
3021,389.7989807128906
3543,337.02215576171875
1073,363.37481689453125
3351,362.41680908203125
1744,378.6745300292969
1084,364.21844482421875
926,368.33648681640625
3049,368.77978515625
1117,347.5174865722656
642,376.2437438964844
4767,355.99664306640625
501,352.0644836425781
4066,388.05450439453125
333,319.02001953125
4684,304.5639343261719
486,370.33831787109375
1962,363.16033935546875
393,354.73834228515625
4842,394.7320556640625
4866,343.1992492675781
1755,350.92059326171875
2515,271.3050231933594
3585,358.32733154296875
4315,291.6521301269531
4966,369.49468994140625
2099,317.7188415527344
3599,400.2084655761719
4121,372.78338623046875
29,400.6231384277344
65,333.2901916503906
838,351.278076171875
3906,373.2266845703125
3773,360.62945556640625
4635,384.9802551269531
3161,297.44317626953125
2659,360.6866455078125
4615,354.82415771484375
4628,317.4614562988281
2451,349.6908874511719
2846,305.49334716796875
1144,356.010986328125
3078,318.6196594238281
1103,377.4447937011719
168,345.77301025390625
1670,351.80712890625
2570,352.3790588378906
2377,312.0279235839844
4395,353.2655944824219
4257,310.3406677246094
3862,355.1673278808594
23,331.8746032714844
2633,283.1300964355469
3340,367.9647216796875
2215,353.6945495605469
3682,355.35321044921875
4724,318.2764892578125
1907,305.77935791015625
84,340.4109802246094
227,275.1370544433594
296,295.1267395019531
1001,388.5406494140625
2138,348.6756896972656
711,298.6013488769531
2801,381.1625061035156
2527,361.3872985839844
3752,362.4311218261719
3321,371.4393310546875
3181,362.3453063964844
4183,367.82177734375
1615,294.62628173828125
3024,306.5657958984375
1413,383.75054931640625
763,282.5152282714844
655,327.1131591796875
4797,372.21148681640625
3849,365.8771057128906
4153,357.1691589355469
468,371.0246887207031
157,299.8024597167969
1295,378.60302734375
497,386.1528015136719
4740,385.1090087890625
2940,351.66412353515625
3456,297.71484375
373,393.6024169921875
79,344.80072021484375
1553,335.4064636230469
1669,275.3658447265625
2131,337.22235107421875
4439,321.7796936035156
465,361.7161865234375
248,278.59735107421875
931,384.322509765625
1335,334.5484924316406
4524,367.6358642578125
1338,305.6506652832031
1406,340.453857421875
1090,312.11370849609375
4209,333.8335876464844
742,353.0653991699219
2323,357.8268737792969
3601,334.3340148925781
2123,354.30938720703125
2094,353.8089294433594
240,413.4348449707031
2351,279.2408142089844
1370,373.669921875
1057,271.6910400390625
4816,347.7891540527344
199,339.3671569824219
2280,329.2436218261719
4749,364.876220703125
2220,345.42987060546875
4771,315.6455078125
2819,391.5577087402344
3150,379.9184875488281
4256,356.4399108886719
3107,280.47052001953125
1973,311.9278259277344
1375,363.68939208984375
3968,367.79315185546875
4062,282.8584289550781
4445,283.2015686035156
3557,321.2649230957031
964,372.282958984375
179,304.16357421875
3698,366.4204406738281
3821,320.23541259765625
4878,294.569091796875
3899,363.58929443359375
4487,313.27191162109375
3238,320.37841796875
2974,294.9408874511719
3580,366.0201110839844
2887,370.0809326171875
2575,382.6210021972656
1419,304.6354675292969
3907,374.44207763671875
4673,361.4873962402344
4902,307.1091613769531
1860,374.4849853515625
8,342.1840515136719
2894,335.94976806640625
2847,281.1425476074219
3664,348.761474609375
144,382.1491394042969
2104,377.544921875
3143,367.6644592285156
841,357.9985046386719
1128,375.5002136230469
151,338.2804870605469
3591,372.4402770996094
1052,313.47210693359375
1590,308.0814514160156
3008,372.7977600097656
2029,364.6903076171875
3418,399.2933654785156
1807,382.1062316894531
2696,369.69488525390625
3039,363.8752746582031
472,348.6614074707031
3289,405.2845458984375
4074,349.362060546875
3496,308.4818115234375
279,357.7983093261719
1741,310.8268127441406
4624,400.5802307128906
2886,274.3935241699219
1941,352.46484375
100,362.1737365722656
2804,323.7672119140625
3570,292.5101013183594
3684,321.33642578125
3661,340.2823181152344
530,363.0030517578125
1886,282.47235107421875
681,357.5123291015625
3794,375.228515625
3944,319.3202819824219
4666,303.2198486328125
2018,370.3811950683594
1096,330.0300598144531
829,374.87103271484375
2805,365.5196533203125
3829,299.23052978515625
4381,350.5774230957031
3891,366.9638366699219
764,359.17095947265625
2767,406.885986328125
4328,380.96234130859375
3295,339.95343017578125
2194,285.2891845703125
2357,291.494873046875
3425,295.527099609375
3979,372.0684814453125
911,372.8692321777344
3145,341.3689880371094
999,378.4600524902344
3653,300.2457275390625
2483,368.9656982421875
4076,364.53302001953125
2370,392.6444396972656
4838,326.1407775878906
33,347.403076171875
3789,395.21820068359375
1020,374.12750244140625
1647,382.2206115722656
733,378.7889099121094
4582,321.765380859375
3274,344.65771484375
1620,357.626708984375
3135,347.01702880859375
2689,293.4823913574219
2707,356.1682434082031
297,319.5776672363281
2339,326.4696960449219
653,349.7480773925781
