Structure_Index,Per_Structure_SHAP
1501,0.8584141914278925
2586,0.3495931079331872
2653,5.787030977143228
1055,3.0362626031256807
705,-7.043195080519227
106,-1.8683132522303092
589,-5.892945144884518
2468,-5.364972360779644
2413,1.5863653099872352
1600,1.9860989967355973
2464,1.3444765413552604
228,2.674037903234605
915,3.9488495061335036
794,2.8682168997438175
3021,2.2615741588858076
3543,0.725801110805648
1073,0.8949490508651883
3351,0.03172581691967463
1744,-3.062309097591055
1084,-0.11570924232242974
926,4.150987165170482
3049,4.75730127410975
1117,-2.879944213785185
642,3.3431878481387556
4767,-0.23375404973482267
501,2.207850221035788
4066,1.0522265439397827
333,2.310261370038548
4684,2.0637636512624415
486,0.15341147191193283
1962,3.1286621362548876
393,-6.2374613751695085
4842,3.3909545012588684
4866,5.482124722144171
1755,4.641001245566859
2515,3.255100876843701
3585,-1.970951050965367
4315,-9.400330397704495
4966,0.2914770147406798
2099,-9.702808326071574
3599,5.13670236118604
4121,5.689997391263504
29,2.1566374896687597
65,0.10694973837687916
838,2.1863247670766097
3906,-4.246041521438928
3773,0.7719136309543677
4635,-6.668777856259645
3161,1.6750315471841564
2659,-0.24814580576161896
4615,-0.7458387706598709
4628,5.133159238240342
2451,-0.23844383118981016
2846,1.6612905350143987
1144,-3.9127834719865398
3078,-1.888416668062987
1103,-4.179547167453558
168,2.0109358323448
1670,5.495227930720948
2570,5.537162348160146
2377,-9.181543528073599
4395,-8.017628915835358
4257,-0.3211960708839984
3862,4.8237435611881745
23,1.0629431794565254
2633,-5.025978622934667
3340,4.64527508882639
2215,-0.33563879871787994
3682,2.8125052844365643
4724,1.6600264842343135
1907,3.568583575603889
84,-0.8218874950169999
227,1.6759822568024827
296,-5.708368588066408
1001,1.7309979528688015
2138,0.6288681223313917
711,4.422257604779327
2801,3.0086961937080328
2527,-0.06881170103048417
3752,-8.792104505926764
3321,0.7427623581394203
3181,-0.8101414438098702
4183,-9.405858508818454
1615,5.696654146653216
3024,3.5143437208307287
1413,-9.742744053631974
763,1.3824654043866889
655,2.0310862702630272
4797,-2.7650740761332853
3849,0.22698580401384572
4153,-4.81316113565711
468,5.436493803143378
157,2.6677435727406875
1295,-1.826840541923417
497,5.2356510358915145
4740,-0.227530381425945
2940,4.807872465273813
3456,-0.8256648860124619
373,-7.615141009077408
79,-9.398537373703668
1553,2.5360711360137365
1669,-9.730199159982233
2131,1.3938473461815661
4439,-0.861217391237393
465,1.0266674722499174
248,5.573020910710229
931,-5.443618084785609
1335,-5.31663245771295
4524,-6.850760438803821
1338,-7.935902520963758
1406,-7.998236672359086
1090,-8.01659022175582
4209,-6.4053410783693625
742,1.7173923710904226
2323,4.675535868415873
3601,5.362931668420147
2123,2.9619240422886484
2094,0.9528622572988396
240,-2.1483599186582083
2351,-8.52601121048561
1370,-2.169688486246802
1057,3.288038033546317
4816,5.629095741022879
199,2.3476197194341535
2280,2.9576001108586194
4749,0.28832099097942865
2220,-6.023208506510502
4771,2.0734641646514786
2819,3.266379080415076
3150,-0.6100358635355746
4256,-3.562277173010361
3107,3.026297267170749
1973,2.9111285793501946
1375,2.702578515783406
3968,1.1542797926713109
4062,-5.117136501218748
4445,5.301737148202611
3557,-0.6209531375520514
964,4.767105210117141
179,-10.444423828480739
3698,-0.6819764891830938
3821,3.480746270661406
4878,0.5210582581759017
3899,3.511667773153672
4487,3.6840393250933676
3238,0.8684513745391489
2974,-7.20243373542121
3580,1.7560798175618064
2887,-6.775416014064891
2575,-4.583617791850042
1419,-5.87256530336877
3907,-0.14136103679995088
4673,1.7397202434796426
4902,-2.6333194348785574
1860,1.1256416835614695
8,3.265825039609745
2894,-6.535943191505793
2847,-3.113995740298963
3664,0.08202945979873147
144,3.1160747414022247
2104,4.791751259487964
3143,-2.259854838387625
841,4.726752042451647
1128,-3.186395546308669
151,-4.923949266522303
3591,-1.485530855023661
1052,2.808576808286781
1590,-0.07093541360384792
3008,-9.43909000846303
2029,4.504442191458875
3418,-2.7671025994766905
1807,3.746931279261463
2696,5.548202959182339
3039,4.067236431370306
472,2.655781106692035
3289,-3.737159690962545
4074,3.2092067587204953
3496,0.7672408599135266
279,2.4295340513975914
1741,4.380076656741808
4624,-8.709527369503476
2886,-5.0983232758905315
1941,3.027393730058347
100,-3.8011319107170873
2804,5.322570222765421
3570,0.18442222146895682
3684,1.0402855130796238
3661,-5.472933957010174
530,-4.648844990335789
1886,1.7231779931825721
681,5.13001509359818
3794,4.952522897814672
3944,-4.966895453539399
4666,5.347826452790121
2018,4.944067401859969
1096,-1.7447150391607633
829,-6.662143649911934
2805,4.934287808895078
3829,5.371282180299142
4381,3.3135919419220476
3891,2.5598270918960733
764,-7.8731326028342385
2767,2.2464880143944654
4328,-0.4141171860363185
3295,2.3478264611822675
2194,-2.854534157162044
2357,0.5795550582605635
3425,4.8093537276105875
3979,-8.647239970394402
911,1.5438677244379015
3145,4.3705243571309484
999,-4.2713134090928255
3653,-0.17733656676068787
2483,1.0762144979633286
4076,1.7344783533892576
2370,5.233583985534491
4838,-8.814718777257724
33,5.231485427492829
3789,2.4709762586834456
1020,3.881866333052403
1647,0.575651273515768
733,3.902303096193147
4582,4.770036392119794
3274,1.610555240212971
1620,-0.9828878548291284
3135,-5.467335430286921
2689,-3.2985378461678145
2707,5.4719740180740155
297,-8.304383798641442
2339,4.333480073657112
653,2.1116592516142205
3774,-0.9574839150220116
1255,2.890736105417523
4520,2.5904799292127088
230,-8.316917191665707
3276,0.17923389046929095
3230,-8.637650451815583
691,3.0914598662248576
2754,1.2751729378986545
4863,-9.650116547133514
969,-7.641680614391463
633,4.744664672593651
4092,3.6125680948839287
4077,1.1036977100666854
1321,-1.7716961431356255
1831,4.335883402461691
2178,5.414689933349572
1417,-1.699968129783794
1782,2.0559342838383015
4715,-1.7387231413977713
4701,-6.796696124889097
4118,-0.6053899156679117
1652,2.6923020478221633
1483,3.29546530997791
2275,-6.092846334425983
877,4.72050039752681
3525,0.3163488630979718
2016,-5.656945048802189
426,3.3911487349816065
626,-8.58408548256182
1589,0.015326463226058962
2223,-1.9343350510540844
2217,4.572934849880812
4483,1.7745339914371159
1485,1.67623269459469
1739,-5.2843897624577245
2480,2.1549719250188444
2584,2.711253346488742
2893,3.1524412138785918
149,-5.8191450656756345
676,-5.253603441959942
1261,-3.535392312017837
4917,0.8178730320358363
12,1.51042707787769
1833,2.2980673380490724
3248,4.60892231231229
1491,3.280863158972521
2727,0.5941398630868429
3686,-9.239194529888788
1424,2.3641304398066247
4605,-6.1985763882971066
4595,1.1976678032402532
731,-1.8392750025844005
1231,4.481934752653813
1634,-0.17758406992734133
3936,2.6225379054437643
1210,1.4703442173583756
3268,3.5625664445632674
1934,-3.2771864544426346
553,4.333911165951774
491,-3.1461583361047474
2962,4.961525282472774
2329,-0.13678490176974045
2195,-8.715704278742033
3064,3.423547090496486
657,-8.887972280742282
2374,4.072803476928637
2225,-4.453108786257296
4264,5.823118358924181
1170,-6.877213224748734
132,3.521927174371745
471,5.746765187395441
3225,5.395591853237299
1405,-7.507682806348282
2876,0.588087388738514
4504,0.27888295237905225
4692,-1.6307126669250458
2826,1.1960962806008781
287,3.6823522657481043
1869,3.8967303547206056
3114,-9.782732755540303
3625,-7.610428524804132
2312,-1.5932772088741847
4923,-1.5720204741888044
1618,-0.3484628783764533
994,2.2777326148907964
1803,3.456184589083723
2642,-2.658905088097013
4802,-0.6727710133497555
3535,-0.5014403545800635
4831,3.563000339661996
3911,1.4242704997721773
2107,-4.81237374192917
3044,0.4268573444154189
416,3.884169065771169
977,-3.08327731748158
2417,-7.89192885708548
505,-3.8209697816309114
4152,-9.11918993666752
4255,0.15801418412119905
3941,2.435521938441806
414,-3.3354635167917097
4148,5.009559660280592
1183,-3.5087404002980422
485,3.6498043249245677
893,-5.631893504487269
805,-2.8652093222489143
555,-0.02925650795767254
3825,-5.960930766447104
1197,5.142082386922963
4253,-0.4933476507924597
4058,1.293323997721817
1293,5.264106529926666
2221,-0.3930281084640959
3504,-2.4299815731530856
3654,1.7987225640808941
4758,-0.11450243669213317
3006,3.35856534959996
2093,1.2849387720946162
2187,4.873827437724453
3036,-0.9458505663991024
3918,0.20262318593941187
1272,-1.02637123418487
290,3.988579786993475
4827,4.232240890042768
252,5.113670969732167
3245,-6.728097546201942
350,3.616306772576329
1187,0.7807131390586546
1961,0.4364915377176498
422,3.6787383090384007
90,-1.8027003216108441
3729,3.011424624354183
2236,-7.274376928134749
670,-3.7069560530385415
3040,-4.372028195585976
26,0.9455687098716423
429,-0.9052208190024603
683,2.0356028942654287
4463,-1.0966196073251822
3945,-4.3716163291581935
3523,3.23025573980778
1541,-7.193682521922589
2031,-2.5390311124393348
2232,-5.324656343954104
4120,-1.1378055414552821
3235,3.176438367270024
254,2.936621505208468
1029,2.144129243671939
4392,4.695406512392889
3800,-2.906914610066603
4310,-5.609339450243997
2509,-2.9352767906235147
2292,1.2215930262639416
1323,4.954358450574423
1550,-8.821515197782654
4647,4.990722281866765
315,-4.869619812709633
1242,-7.371064352986712
2450,-0.610554170332405
1578,3.3143504019243366
4625,2.7157148809053604
3116,4.554054094434636
69,-1.5445478411562423
859,4.952653628325839
2753,3.581485080443844
1632,5.2252797044022
1650,-8.321348802909942
3860,-1.6794224050357878
3106,5.118690588336456
1074,1.4543541446079653
4001,1.3360555861770622
787,-2.402052275966878
2605,2.924006494263687
3630,4.601938440425677
2121,-2.2834934051403915
1874,0.30000094443175046
811,-0.9592350431907204
387,2.6341149478266495
2882,4.931929358713083
1175,-2.6199449183179686
3197,1.0292279833131521
2623,4.838493889438344
1351,4.146069265884004
410,5.03316292026097
4212,-1.9402366498125998
109,5.356803052934946
4995,-0.6015639566691394
3429,4.397546911604762
2809,3.23863379129833
2594,3.7730467226723037
2836,3.0746088691456874
2372,-6.953286012347203
1235,-2.4489132720956825
2146,-1.158240687009915
4975,-2.0007650896914555
599,-7.027040819081978
1434,2.779282553942786
4996,2.9353527216742776
538,2.599864744824067
721,3.902873591298607
4410,-4.571812546406513
1872,-6.349774615549195
2845,4.527815651539949
2053,2.6640038725811843
2907,-8.98402356900965
2254,-0.6035529620735591
3912,-0.16078237270965634
177,-4.394824275177002
2890,3.0861841805513293
3673,3.541021176118623
80,3.5037823759610527
2561,0.7135062272015518
1723,3.63882107226579
1617,5.157452813636586
1654,-1.2543673905277843
2328,-2.031728099537412
4613,3.4374943732646583
221,-1.3803229789663627
93,2.7349491130737995
2609,2.2568739968916334
3382,-7.715559925253592
4415,-4.432979399841896
