22.112663 9.397155 12.118249 20.293965 11.077968 170.3746 206.6824 152.2208 72.1107 77.5601 15.4163 
6.196750 25.079061 17.028875 21.713612 4.981701 180.3258 211.0432 164.9671 69.4147 66.2907 17.5206 
24.426960 0.000000 20.810899 15.837844 13.924297 174.3066 223.0325 149.9437 79.1091 102.4718 18.3650 
13.101951 17.061668 24.734622 6.358052 13.743707 180.5748 222.9785 159.3729 73.5863 90.1169 22.7936 
7.791004 12.591308 2.705014 28.248212 23.664462 174.0890 208.4085 156.9292 76.3263 73.5918 15.7580 
14.176920 19.345676 17.686827 0.000000 23.790577 178.4352 219.8147 157.7454 75.2816 88.0017 23.8303 
26.066744 16.817580 2.280093 16.374169 13.461415 164.0578 191.1864 150.4934 66.7219 58.6158 13.7700 
15.078101 24.891152 21.439578 7.103086 6.488084 176.9396 210.1572 160.3308 67.4942 71.3890 18.5630 
9.950480 6.939232 5.704863 30.000000 22.405393 174.2467 212.7983 154.9709 78.2321 82.1946 16.2350 
16.526910 6.792872 2.829741 29.585629 19.264848 168.8742 203.8986 151.3619 74.5374 74.9202 14.5546 
13.320326 13.520987 20.577886 15.782424 11.798377 178.5927 218.7209 158.5285 74.3481 85.4863 19.3803 
12.377532 26.532463 14.041384 4.345956 17.702664 177.1356 210.4153 160.4958 71.0204 71.5196 20.8426 
16.538220 22.293414 2.626913 10.522544 23.018910 170.6863 199.8298 156.1146 71.0809 62.8882 16.4246 
10.710261 23.462464 8.511731 7.354804 24.960741 176.7561 210.7999 159.7342 74.6690 73.0787 20.1593 
5.802643 22.159048 10.731244 24.619568 11.687496 178.6300 208.8096 163.5402 71.6428 65.1517 15.5373 
17.410820 10.533305 18.043740 14.838294 14.173842 175.8766 217.0935 155.2681 74.8843 87.6053 18.4793 
17.103814 18.766710 18.543603 14.023792 6.562081 175.0287 208.2060 158.4401 69.2062 71.2711 17.4596 
12.584723 25.740049 19.908429 16.766698 0.000100 177.2187 205.6228 163.0166 66.3175 61.4438 16.8810 
9.940075 14.538920 19.187589 18.895305 12.438111 180.1407 219.3618 160.5301 74.9360 83.6920 20.0006 
22.464339 17.764549 13.956604 10.831513 9.982995 170.6137 203.0462 154.3975 68.3460 69.6623 16.1683 
21.710005 17.536093 2.335638 21.689186 11.729078 165.6286 191.1787 152.8535 66.9958 55.3518 12.5293 
5.975061 20.076575 7.507007 25.262206 16.179151 177.3226 208.4110 161.7783 73.1963 67.0116 16.4956 
27.370515 0.000000 4.151843 18.166870 25.310772 165.8792 210.0329 143.8024 76.5197 93.1472 17.8833 
23.957475 22.984518 13.972335 12.114158 1.971513 168.8325 194.7346 155.8814 64.0842 56.1265 14.4916 
28.377569 12.485036 12.830144 9.760878 11.546372 167.7532 203.5943 149.8327 69.1918 76.5529 15.6690 
11.967696 25.962230 26.810071 1.930591 8.329412 180.6466 218.5635 161.6882 68.6789 81.0587 22.1970 
22.676652 6.412674 1.960632 23.190248 20.759794 165.9343 201.9354 147.9338 73.0841 76.8348 15.8353 
17.541837 26.798331 0.047998 8.078920 22.532914 169.2151 194.5578 156.5438 69.2296 54.9625 15.3406 
8.476943 23.006055 9.063130 17.615267 16.838605 176.8766 207.9680 161.3308 71.9785 67.0109 17.9290 
16.908303 25.810264 15.775082 12.929549 3.576802 173.5401 200.0550 160.2827 65.5760 57.4632 15.5303 
18.600001 3.328661 8.727815 14.343502 30.000000 172.9667 220.1277 149.3861 80.4035 99.3406 20.1926 
9.830270 21.247043 13.622650 16.415993 13.884044 177.7971 210.8365 161.2774 71.8097 71.0383 18.1176 
6.401985 13.173182 18.966906 7.086392 29.371535 184.1864 233.3745 159.5923 82.7117 103.7468 25.0203 
