LAMMPS data file via write_data version 30 Jul 2021 timestep = 0
4000 atoms
5 atom types
0 35.97 xlo xhi
0 35.97 ylo yhi
0 35.97 zlo zhi
0.0 0.0 0.0 xy xz yz
 
Masses
 
1 1.0
2 2.0
3 3.0
4 4.0
5 5.0
 
Atoms  # atomic
 
1 1 0.0 0.0 0.0
401 3 0.0 0.0 3.597
801 5 0.0 0.0 7.194
1201 5 0.0 0.0 10.791
1601 3 0.0 0.0 14.388
2001 3 0.0 0.0 17.985
2401 3 0.0 0.0 21.582
2801 3 0.0 0.0 25.179
3201 5 0.0 0.0 28.776
3601 5 0.0 0.0 32.373
4 4 0.0 1.7985 1.7985
404 3 0.0 1.7985 5.3955
804 2 0.0 1.7985 8.9925
1204 4 0.0 1.7985 12.5895
1604 2 0.0 1.7985 16.1865
2004 4 0.0 1.7985 19.7835
2404 5 0.0 1.7985 23.3805
2804 2 0.0 1.7985 26.9775
3204 3 0.0 1.7985 30.5745
3604 3 0.0 1.7985 34.1715
41 4 0.0 3.597 0.0
441 3 0.0 3.597 3.597
841 5 0.0 3.597 7.194
1241 3 0.0 3.597 10.791
1641 3 0.0 3.597 14.388
2041 5 0.0 3.597 17.985
2441 5 0.0 3.597 21.582
2841 4 0.0 3.597 25.179
3241 5 0.0 3.597 28.776
3641 5 0.0 3.597 32.373
44 3 0.0 5.3955 1.7985
444 5 0.0 5.3955 5.3955
844 3 0.0 5.3955 8.9925
1244 3 0.0 5.3955 12.5895
1644 1 0.0 5.3955 16.1865
2044 3 0.0 5.3955 19.7835
2444 5 0.0 5.3955 23.3805
2844 3 0.0 5.3955 26.9775
3244 2 0.0 5.3955 30.5745
3644 3 0.0 5.3955 34.1715
81 1 0.0 7.194 0.0
481 4 0.0 7.194 3.597
881 4 0.0 7.194 7.194
1281 4 0.0 7.194 10.791
1681 5 0.0 7.194 14.388
2081 5 0.0 7.194 17.985
2481 2 0.0 7.194 21.582
2881 5 0.0 7.194 25.179
3281 4 0.0 7.194 28.776
3681 5 0.0 7.194 32.373
84 2 0.0 8.9925 1.7985
484 1 0.0 8.9925 5.3955
884 3 0.0 8.9925 8.9925
1284 5 0.0 8.9925 12.5895
1684 4 0.0 8.9925 16.1865
2084 3 0.0 8.9925 19.7835
2484 3 0.0 8.9925 23.3805
2884 1 0.0 8.9925 26.9775
3284 1 0.0 8.9925 30.5745
3684 3 0.0 8.9925 34.1715
121 2 0.0 10.791 0.0
521 4 0.0 10.791 3.597
921 3 0.0 10.791 7.194
1321 4 0.0 10.791 10.791
1721 4 0.0 10.791 14.388
2121 3 0.0 10.791 17.985
2521 3 0.0 10.791 21.582
2921 5 0.0 10.791 25.179
3321 5 0.0 10.791 28.776
3721 2 0.0 10.791 32.373
124 3 0.0 12.5895 1.7985
524 3 0.0 12.5895 5.3955
924 5 0.0 12.5895 8.9925
1324 3 0.0 12.5895 12.5895
1724 3 0.0 12.5895 16.1865
2124 3 0.0 12.5895 19.7835
2524 3 0.0 12.5895 23.3805
2924 5 0.0 12.5895 26.9775
3324 1 0.0 12.5895 30.5745
3724 5 0.0 12.5895 34.1715
161 5 0.0 14.388 0.0
561 4 0.0 14.388 3.597
961 5 0.0 14.388 7.194
1361 5 0.0 14.388 10.791
1761 5 0.0 14.388 14.388
2161 3 0.0 14.388 17.985
2561 3 0.0 14.388 21.582
2961 5 0.0 14.388 25.179
3361 2 0.0 14.388 28.776
3761 4 0.0 14.388 32.373
164 2 0.0 16.1865 1.7985
564 2 0.0 16.1865 5.3955
964 3 0.0 16.1865 8.9925
1364 1 0.0 16.1865 12.5895
