Type 1-Type 1,Type 1-Type 2,Type 1-Type 3,Type 1-Type 4,Type 1-Type 5,Type 2-Type 1,Type 2-Type 2,Type 2-Type 3,Type 2-Type 4,Type 2-Type 5,Type 3-Type 1,Type 3-Type 2,Type 3-Type 3,Type 3-Type 4,Type 3-Type 5,Type 4-Type 1,Type 4-Type 2,Type 4-Type 3,Type 4-Type 4,Type 4-Type 5,Type 5-Type 1,Type 5-Type 2,Type 5-Type 3,Type 5-Type 4,Type 5-Type 5,P_1_1,P_1_2,P_1_3,P_1_4,P_1_5,P_2_1,P_2_2,P_2_3,P_2_4,P_2_5,P_3_1,P_3_2,P_3_3,P_3_4,P_3_5,P_4_1,P_4_2,P_4_3,P_4_4,P_4_5,P_5_1,P_5_2,P_5_3,P_5_4,P_5_5,Type1,Type2,Type3,Type4,Type5,W_Index
-0.0051884350425315,-0.0516980213949911,-0.0216632478325788,0.0142705679819556,0.0352476051904029,-0.0516980213949911,0.0647464423688198,0.0083924364563794,0.0005384196255565,-0.0245864380029747,-0.0216632478325788,0.0083924364563796,-0.0284917452495354,0.0177267765469677,0.0163016822626724,0.0142705679819555,0.0005384196255565,0.0177267765469675,-0.0445182876787015,0.0059906683957539,0.0352476051904028,-0.0245864380029747,0.0163016822626722,0.0059906683957536,-0.0148923897673536,0.0746352413019079,0.0780885780885781,0.0758584961515689,0.0731904103273397,0.0716328653146125,0.1503928170594837,0.1337412587412587,0.1417998815867377,0.1429230059935454,0.1465158606344253,0.2875982042648709,0.2791375291375291,0.2895204262877442,0.2765099124020286,0.2769110764430577,0.1781705948372615,0.1806526806526806,0.1775458851391355,0.1887966804979253,0.1796671866874675,0.3092031425364758,0.3283799533799534,0.3152753108348134,0.3185799907791609,0.3252730109204368,0.07425,0.143,0.2815,0.18075,0.3205,1501
0.1229549671108113,-0.0037307542106006,-0.0344461264706663,0.0258235042657851,-0.0177808497136229,-0.0037307542106006,-0.0511799371993668,0.0162657152165294,-0.0161977652547569,0.0173079255161224,-0.0344461264706663,0.0162657152165295,0.0225921186344988,-0.022139360791374,-0.0081742308375292,0.0258235042657852,-0.0161977652547569,-0.022139360791374,0.0353882272228142,0.0017951238600832,-0.0177808497136229,0.0173079255161224,-0.0081742308375292,0.0017951238600834,0.0067196086858853,0.0844155844155844,0.0966090850927703,0.0995654396728016,0.0937644877144181,0.0979614067849362,0.1307359307359307,0.1369161868202175,0.128131390593047,0.132359758924432,0.127995642701525,0.3372294372294372,0.3206973768394114,0.3186349693251534,0.3332174316179879,0.3286647992530345,0.1751082251082251,0.1826615483045425,0.1837295501022494,0.1733889661566991,0.17942732648615,0.2725108225108225,0.2631158029430582,0.2699386503067484,0.2672693555864627,0.2659508247743541,0.09625,0.13025,0.326,0.17975,0.26775,2586
0.0333333333333334,0.1896869244935543,-0.0450966356478166,0.0063665302410185,-0.0129969418960242,0.1896869244935544,0.0486655881485098,-0.0012246711250494,-0.0326140209386989,-0.0228879089439684,-0.0450966356478166,-0.0012246711250496,0.0011660464092277,0.0097665920248124,0.0005158863065386,0.0063665302410187,-0.0326140209386989,0.0097665920248124,-0.0546775881632914,0.0282627772145526,-0.0129969418960242,-0.0228879089439686,0.0005158863065385,0.0282627772145526,-0.0080676586021253,0.0483333333333333,0.0405156537753222,0.0522548317823908,0.049681673487949,0.0506498470948012,0.0733333333333333,0.0860957642725598,0.0906108327368169,0.0934515688949522,0.0925713557594291,0.365,0.3496777163904235,0.3488427582915772,0.3458390177353342,0.3490698267074414,0.1820833333333333,0.1892265193370165,0.1814602720114531,0.1932696680309231,0.1780708460754332,0.33125,0.3344843462246777,0.3268313051777619,0.3177580718508413,0.329638124362895,0.05,0.0905,0.34925,0.18325,0.327,2653
-0.1861034588307315,-0.0052975406236277,0.0325955672490326,0.0121508813097597,-0.0006264791869692,-0.0052975406236275,-0.107632325141777,0.0183173835778226,-0.0194752423521216,0.0241527398628405,0.0325955672490326,0.0183173835778226,-0.0019515045417484,-0.0049787971505377,-0.0069330646105016,0.0121508813097599,-0.0194752423521216,-0.0049787971505377,0.002972662556157,0.0063320772771046,-0.0006264791869692,0.0241527398628403,-0.0069330646105016,0.0063320772771044,-0.0033402984771271,0.0782828282828282,0.0663496376811594,0.0638486925615638,0.0651980418335558,0.0660413476263399,0.0924873737373737,0.1019021739130434,0.0903148007108403,0.0937917222963952,0.0897779479326186,0.317550505050505,0.3222373188405797,0.3288905813658289,0.329884290164664,0.3305257784583971,0.1849747474747475,0.1908967391304347,0.1881822797664381,0.1866933689363596,0.1860643185298622,0.3267045454545454,0.3186141304347826,0.3287636455953288,0.3244325767690253,0.327590607452782,0.066,0.092,0.32825,0.18725,0.3265,1055
0.0043534444904461,-0.0013814237713472,-0.0044614679924837,-0.0116822979103494,0.0144217924991134,-0.0013814237713472,-0.0151901451141798,0.0297222352286263,-0.0081488262751614,-0.0241570265113031,-0.0044614679924837,0.0297222352286266,-0.0093657947861358,0.0070073722691857,-0.0022747552438764,-0.0116822979103496,-0.0081488262751612,0.0070073722691856,0.0029506319637117,0.0021022742785375,0.0144217924991134,-0.0241570265113031,-0.0022747552438764,0.0021022742785377,-0.003341965647527,0.2028629856850715,0.204031465093412,0.2046590241034685,0.2061302681992337,0.2008115597783056,0.0848670756646216,0.0860373647984267,0.0822310405643739,0.0854406130268199,0.0867973079968329,0.2847648261758691,0.2750737463126844,0.2861552028218695,0.2815134099616858,0.2841448931116389,0.220040899795501,0.2192723697148476,0.215975896531452,0.2168582375478927,0.217042755344418,0.2074642126789366,0.2155850540806293,0.210978835978836,0.2100574712643678,0.2112034837688044,0.20375,0.08475,0.2835,0.2175,0.2105,705
-0.0263884901467756,-0.0525623314255641,-0.0010716215792492,0.0289780802788848,0.015098816542738,-0.0525623314255641,0.0207141219700561,0.0387221242832341,-0.0314203200660108,-0.0054266840896957,-0.0010716215792492,0.0387221242832341,0.0020153789915341,-0.0224235073053105,-0.0009120737239849,0.0289780802788848,-0.031420320066011,-0.0224235073053105,0.0074461157011823,0.0183652675265288,0.0150988165427379,-0.0054266840896957,-0.0009120737239851,0.0183652675265288,-0.0174355563908685,0.1444641799881586,0.1481481481481481,0.1409008307372793,0.1366713352007469,0.1386248415716096,0.1018354055654233,0.094745908699397,0.093003634475597,0.0997899159663865,0.097275031685678,0.321343990526939,0.3085701981050818,0.3203530633437175,0.3281979458450046,0.3212927756653992,0.173327412670219,0.1841085271317829,0.1825025960539979,0.1771708683473389,0.1752217997465145,0.2590290112492599,0.26442721791559,0.2632398753894081,0.2581699346405229,0.2675855513307985,0.14075,0.09675,0.321,0.1785,0.263,106
-0.0396321922613009,-0.019382887170666,0.002619355092831,0.0303594717020179,0.0154137197153728,-0.0193828871706662,0.0214408075300706,0.0123790106101372,-0.0365564482961511,0.0056829409021569,0.0026193550928309,0.0123790106101372,0.001667286213284,0.0009359077260624,-0.0166864411180753,0.030359471702018,-0.0365564482961511,0.0009359077260624,0.0337963164430585,-0.0076983288622736,0.0154137197153728,0.005682940902157,-0.0166864411180753,-0.0076983288622736,0.0085772717560514,0.1335927367055771,0.1309907010014306,0.1281634128705712,0.1245988078862906,0.1265193370165745,0.2375162127107652,0.2280042918454935,0.230115690527838,0.2415176524530032,0.2316758747697974,0.2298962386511024,0.2276466380543634,0.230115690527838,0.2302842732691426,0.2343462246777164,0.1762321660181582,0.1883941344778254,0.1815798987707881,0.1756075194864741,0.1831491712707182,0.2227626459143969,0.224964234620887,0.2300253073029645,0.2279917469050894,0.2243093922651933,0.1285,0.233,0.2305,0.18175,0.22625,589
-0.1110623803049573,0.0649032669779314,0.0063939963162538,-0.014832544472344,0.0171550592275172,0.0649032669779314,-0.0024277547184587,-0.0091793546968612,-0.0072667098352399,-0.0110474868413443,0.0063939963162537,-0.0091793546968617,0.0072399470185049,0.0226457882873577,-0.0187959241667681,-0.014832544472344,-0.0072667098352399,0.0226457882873578,0.0134430673071093,-0.01531817457212,0.0171550592275173,-0.0110474868413441,-0.0187959241667681,-0.01531817457212,0.0215045495322311,0.1258278145695364,0.1058997050147492,0.1125258799171842,0.1149297856614929,0.1113071895424836,0.1320824135393671,0.1415929203539823,0.1425465838509317,0.1422764227642276,0.1428104575163398,0.1999632082413539,0.2030973451327433,0.1997929606625259,0.1966925351071692,0.2050326797385621,0.2288447387785136,0.2271386430678466,0.2203933747412008,0.2224685883222468,0.228954248366013,0.3132818248712288,0.3222713864306785,0.3247412008281573,0.3236326681448632,0.3118954248366013,0.11325,0.14125,0.20125,0.2255,0.31875,2468
0.0847033257747543,0.0037942804122343,-0.0497983346344002,0.032841867569901,0.0055517399267398,0.0037942804122345,-0.0547373834667734,0.0337337577147289,-0.0394737991457099,0.0096889888121621,-0.0497983346343999,0.0337337577147289,0.022216250111977,0.0027512937177522,-0.0228387277567605,0.032841867569901,-0.0394737991457099,0.0027512937177521,0.022218591203728,-0.0091460143761397,0.00555173992674,0.009688988812162,-0.0228387277567605,-0.0091460143761399,0.0223674117904886,0.0768849206349206,0.0836812804453723,0.0881830601092896,0.0812412831241283,0.0835336538461538,0.1192956349206349,0.1263048016701461,0.1157103825136612,0.1244769874476987,0.1185897435897435,0.320188492063492,0.2947112038970076,0.298224043715847,0.3041608554160855,0.3119658119658119,0.1733630952380952,0.1863256784968684,0.1787568306010929,0.1752673175267317,0.180889423076923,0.3102678571428571,0.3089770354906054,0.3191256830601093,0.3148535564853556,0.3050213675213675,0.084,0.11975,0.305,0.17925,0.312,2413
0.0174849883042923,0.0223948050387627,-0.0287343620676954,0.0284742759990284,0.0020793638364697,0.0223948050387627,0.0804379956705598,0.0117333183026613,-0.0071914386433429,-0.0386213747272989,-0.0287343620676954,0.0117333183026613,-0.0057492682975308,0.006442287913292,0.0051180748855167,0.0284742759990282,-0.0071914386433429,0.0064422879132921,0.0130352699848687,-0.0178758739661342,0.0020793638364696,-0.0386213747272989,0.0051180748855166,-0.0178758739661342,0.0164853874967449,0.0729517396184062,0.0725871857258718,0.0763835263835263,0.0721357850070721,0.0740956072351421,0.1004489337822671,0.0944849959448499,0.1015444015444015,0.1034889203206034,0.1067183462532299,0.3330527497194164,0.3199513381995134,0.3256113256113256,0.3216643092880716,0.3220930232558139,0.1717171717171717,0.1780210867802108,0.1756113256113256,0.1744460160301744,0.1799095607235142,0.3218294051627385,0.3349553933495539,0.3208494208494208,0.3282649693540783,0.3171834625322997,0.07425,0.10275,0.32375,0.17675,0.3225,1600
