Index,Y_Actual,Y_Predict,Structure_Index,Per_Structure_SHAP,Y_Pred_minus_Per_Structure_SHAP
1501,188.02883911132807,187.96036,1501,0.8584141914278925,187.1019458085721
2586,187.5619201660156,187.90855,2586,0.3495931079331872,187.55895689206682
2653,192.2457733154297,192.43051,2653,5.787030977143228,186.64347902285678
1055,190.4314117431641,190.34995,1055,3.0362626031256807,187.31368739687431
705,179.84764099121094,179.66837,705,-7.043195080519227,186.71156508051925
106,185.4502716064453,185.3563,106,-1.8683132522303088,187.2246132522303
589,181.2812347412109,181.49959,589,-5.892945144884518,187.39253514488453
2468,182.1753387451172,182.06194,2468,-5.364972360779644,187.42691236077962
2413,188.50213623046875,188.3129,2413,1.5863653099872352,186.72653469001278
1600,189.69039916992188,189.534,1600,1.9860989967355973,187.5479010032644
2464,188.00596618652344,188.5405,2464,1.3444765413552604,187.19602345864476
228,189.77394104003903,189.64348,228,2.674037903234605,186.96944209676542
915,191.4962310791016,191.55058,915,3.948849506133504,187.60173049386648
794,190.4042053222656,190.34006,794,2.868216899743817,187.47184310025617
3021,189.81285095214844,190.04874,3021,2.261574158885808,187.7871658411142
3543,187.97183227539065,187.97586,3543,0.725801110805648,187.25005888919435
1073,187.88047790527344,187.8162,1073,0.8949490508651883,186.92125094913482
3351,187.0192413330078,187.10257,3351,0.0317258169196746,187.0708441830803
1744,183.817138671875,183.87018,1744,-3.062309097591055,186.93248909759106
1084,186.82704162597656,187.3939,1084,-0.1157092423224297,187.50960924232243
926,190.5533142089844,190.6655,926,4.150987165170482,186.51451283482953
3049,192.15451049804688,192.16281,3049,4.75730127410975,187.40550872589026
1117,184.7110595703125,184.48312,1117,-2.879944213785185,187.3630642137852
642,190.1258544921875,190.05154,642,3.343187848138756,186.70835215186122
4767,187.4615936279297,187.23978,4767,-0.2337540497348226,187.4735340497348
501,189.34230041503903,189.07523,501,2.207850221035788,186.86737977896422
4066,188.1932830810547,188.36053,4066,1.0522265439397829,187.30830345606023
333,189.01683044433597,189.24818,333,2.310261370038548,186.93791862996144
