LAMMPS data file via write_data version 30 Jul 2021 timestep = 0
3600 atoms
9 atom types
0.3 44.054073024 xlo xhi
0.3 25.4346309193 ylo yhi
0.2185227682 35.1227340024 zlo zhi
0.0 0.0 0.0 xy xz yz
 
Masses
 
1 0.1
2 0.1
3 0.1
4 0.1
5 0.1
6 0.1
7 0.1
8 0.1
9 0.1
 
Atoms  # atomic
 
1 5 2.2224310651 1.2768846022 0.3982696829
2 3 2.239475586 3.8151437686 0.3895457243
3 5 2.1857075898 6.3620151011 0.3864071377
4 5 2.1799849657 8.8842911455 0.3967157474
5 4 2.208250059 11.4456856522 0.3294497477
6 5 2.2180785227 14.0330489171 0.3658024837
7 5 2.2336692591 16.5651681636 0.3701756323
8 3 2.1802140469 19.0659265102 0.4003545114
9 5 2.1967167027 21.6067698352 0.3789606732
10 1 2.1714032323 24.1763797277 0.3258706699
11 3 4.407565952 2.5743916031 0.4385376243
12 4 4.4105175749 5.1073501925 0.2763461317
13 4 4.4062002757 7.6599443169 0.3179990722
14 3 4.3701199899 10.1981170056 0.4060128331
15 3 4.452853539 12.7733733862 0.3541975315
16 3 4.4645278684 15.2301552559 0.3742552365
17 5 4.4126762244 17.7897693385 0.4222007082
18 3 4.423865959 20.3430756326 0.3724531321
19 2 4.4540870531 22.8446987567 0.2968191968
20 5 4.4132489274 25.1471119216 0.4134603447
21 4 6.5976701383 1.2546445609 0.3294717373
22 5 6.6223404192 3.7983823469 0.4039227689
23 2 6.6229571762 6.3653724724 0.3612192117
24 4 6.6041901411 8.9625026356 0.3206350382
25 4 6.6190804178 11.4890771325 0.2872596314
26 3 6.6417242113 13.9958126174 0.3812538799
27 4 6.6244550147 16.5194366972 0.2885266543
28 5 6.5989477064 19.0633830472 0.3610572562
29 3 6.5930444606 21.5834717133 0.3811418374
30 3 6.5856874304 24.0617967154 0.3300134507
31 3 8.8168940669 2.533192588 0.4164090524
32 4 8.820594609 5.0815849114 0.2653820208
33 5 8.8079951441 7.6650312431 0.3868647319
34 5 8.819361095 10.2109614942 0.4093154696
35 3 8.8512121898 12.7601219435 0.3835819908
36 3 8.7977745992 15.227052231 0.4269626897
37 3 8.858613274 17.7512613073 0.377185096
38 4 8.7841618906 20.3006506682 0.2826760104
39 3 8.7292705156 22.8258771298 0.3650827589
40 4 8.797642437 25.4056100054 0.3214493534
41 5 11.0121525797 1.2966320496 0.3933265485
42 5 11.0096855516 3.8245800167 0.3855854925
43 4 11.0178796092 6.4098067726 0.2817737365
44 5 11.0125931205 8.9388738634 0.379762423
45 3 11.0066017665 11.4854399803 0.3946797848
46 3 11.0039144681 13.9561345932 0.4039119486
47 4 10.9988482497 16.4882284051 0.3061518848
48 5 11.020787178 19.0775247019 0.3721843697
49 4 10.9772176998 21.6234803877 0.2928191742
50 2 11.0354571844 24.1516572664 0.2897556315
51 2 13.2093935259 2.5546797642 0.2220539575
52 5 13.2034021719 5.1181853453 0.3722887333
53 3 13.2223454233 7.6988847368 0.3871202307
54 3 13.1650751284 10.2186427528 0.3972714225
55 3 13.1506253925 12.7128389646 0.4008107095
56 3 13.1585551256 15.2239746406 0.4101350205
57 5 13.2025651445 17.8113124709 0.3666663629
58 3 13.1848113531 20.3785315081 0.3772046424
59 3 13.2065740652 22.8936349866 0.3769536811
60 5 13.2272794795 25.1569613807 0.3932539477
61 4 15.4475166518 1.3026676876 0.3150590904
62 5 15.4652704432 3.8384673252 0.3814186278
63 2 15.4007752803 6.3035663192 0.3131637918
64 2 15.3850920303 8.9819092589 0.3094978025
65 4 15.3794090549 11.4838884678 0.2880537022
66 5 15.3614349931 13.9876226663 0.396098641
67 4 15.3605539116 16.539021363 0.2822425001
68 5 15.3966782515 19.097643495 0.3667756131
69 5 15.3830655429 21.6327385934 0.3747302828
70 5 15.4165025844 24.1755149503 0.3977845144
71 3 17.6674454455 2.5852521905 0.3774653768
72 3 17.656255711 5.0650778359 0.3894612561
73 4 17.6167392075 7.6233693177 0.3000904195
74 3 17.5961659554 10.2019067656 0.3187006468
75 5 17.5837427068 12.7288373474 0.3841240532
76 2 17.5274856555 15.2516729537 0.311706541
77 5 17.5993378486 17.8574508914 0.3756011429
78 1 17.6022013634 20.3823721374 0.3458571703
79 3 17.6037432559 22.9038851428 0.3868619395
80 5 17.6191621815 25.1527104654 0.3810112957
