LAMMPS data file via write_data version 30 Jul 2021 timestep = 0
4000 atoms
5 atom types
0 35.97 xlo xhi
0 35.97 ylo yhi
0 35.97 zlo zhi
0.0 0.0 0.0 xy xz yz
 
Masses
 
1 1.0
2 2.0
3 3.0
4 4.0
5 5.0
 
Atoms  # atomic
 
1392 1 23.3805 34.1715 25.179 0 0 0
2229 1 14.388 0.0 25.179 0 0 0
1787 1 19.7835 32.373 23.3805 0 0 0
2858 1 10.791 23.3805 16.1865 0 0 0
1232 1 23.3805 19.7835 25.179 0 0 0
3548 1 1.7985 12.5895 21.582 0 0 0
2218 1 14.388 1.7985 16.1865 0 0 0
3188 1 5.3955 16.1865 21.582 0 0 0
726 1 28.776 12.5895 5.3955 0 0 0
1651 1 19.7835 21.582 8.9925 0 0 0
1064 1 23.3805 5.3955 17.985 0 0 0
1688 1 19.7835 26.9775 3.597 0 0 0
3169 1 7.194 14.388 7.194 0 0 0
445 1 32.373 21.582 3.597 0 0 0
1127 1 23.3805 10.791 5.3955 0 0 0
3901 1 0.0 17.985 0.0 0 0 0
228 1 30.5745 1.7985 21.582 0 0 0
893 1 28.776 25.179 10.791 0 0 0
3766 1 3.597 34.1715 5.3955 0 0 0
2705 1 10.791 7.194 21.582 0 0 0
1920 1 16.1865 8.9925 32.373 0 0 0
2139 1 16.1865 28.776 16.1865 0 0 0
2449 1 14.388 21.582 7.194 0 0 0
1341 1 25.179 28.776 17.985 0 0 0
441 1 32.373 21.582 0.0 0 0 0
1838 1 17.985 1.7985 34.1715 0 0 0
1615 1 19.7835 17.985 12.5895 0 0 0
2919 1 8.9925 25.179 34.1715 0 0 0
2619 1 8.9925 0.0 16.1865 0 0 0
2758 1 10.791 12.5895 34.1715 0 0 0
2492 1 12.5895 26.9775 7.194 0 0 0
3131 1 5.3955 10.791 8.9925 0 0 0
1960 1 16.1865 12.5895 32.373 0 0 0
3859 1 0.0 7.194 32.373 0 0 0
263 1 30.5745 3.597 19.7835 0 0 0
3983 1 0.0 32.373 3.597 0 0 0
2556 1 12.5895 30.5745 28.776 0 0 0
1682 1 21.582 26.9775 1.7985 0 0 0
3487 1 1.7985 7.194 5.3955 0 0 0
1419 1 19.7835 0.0 16.1865 0 0 0
3096 1 5.3955 8.9925 10.791 0 0 0
921 1 28.776 28.776 0.0 0 0 0
674 1 28.776 5.3955 30.5745 0 0 0
1143 1 23.3805 10.791 19.7835 0 0 0
3125 1 7.194 10.791 3.597 0 0 0
1709 1 21.582 25.179 25.179 0 0 0
781 1 28.776 14.388 17.985 0 0 0
1633 1 21.582 17.985 28.776 0 0 0
1792 1 19.7835 34.1715 25.179 0 0 0
