LAMMPS data file via write_data version 30 Jul 2021 timestep = 0
4000 atoms
5 atom types
0 35.97 xlo xhi
0 35.97 ylo yhi
0 35.97 zlo zhi
0.0 0.0 0.0 xy xz yz
 
Masses
 
1 1.0
2 2.0
3 3.0
4 4.0
5 5.0
 
Atoms  # atomic
 
3295 1 5.3955 25.179 12.5895 0 0 0
3908 1 0.0 19.7835 12.5895 0 0 0
3174 1 7.194 16.1865 12.5895 0 0 0
228 1 30.5745 1.7985 21.582 0 0 0
3163 1 5.3955 14.388 1.7985 0 0 0
1315 1 23.3805 25.179 30.5745 0 0 0
664 1 26.9775 5.3955 17.985 0 0 0
3378 1 7.194 34.1715 16.1865 0 0 0
65 1 34.1715 10.791 8.9925 0 0 0
877 1 28.776 21.582 32.373 0 0 0
3195 1 5.3955 14.388 30.5745 0 0 0
675 1 26.9775 3.597 30.5745 0 0 0
2204 1 12.5895 1.7985 0.0 0 0 0
200 1 34.1715 34.1715 32.373 0 0 0
240 1 30.5745 1.7985 32.373 0 0 0
1160 1 23.3805 12.5895 32.373 0 0 0
2211 1 12.5895 0.0 8.9925 0 0 0
2858 1 10.791 23.3805 16.1865 0 0 0
977 1 28.776 32.373 14.388 0 0 0
3699 1 1.7985 25.179 16.1865 0 0 0
388 1 30.5745 16.1865 21.582 0 0 0
1824 1 16.1865 1.7985 17.985 0 0 0
1828 1 16.1865 1.7985 21.582 0 0 0
1058 1 25.179 5.3955 16.1865 0 0 0
768 1 26.9775 16.1865 3.597 0 0 0
3960 1 0.0 26.9775 34.1715 0 0 0
2035 1 16.1865 17.985 30.5745 0 0 0
152 1 34.1715 26.9775 17.985 0 0 0
3888 1 0.0 16.1865 12.5895 0 0 0
319 1 30.5745 7.194 34.1715 0 0 0
2637 1 10.791 0.0 32.373 0 0 0
2236 1 12.5895 1.7985 28.776 0 0 0
3482 1 3.597 8.9925 1.7985 0 0 0
260 1 30.5745 5.3955 14.388 0 0 0
2851 1 8.9925 21.582 8.9925 0 0 0
1164 1 23.3805 16.1865 0.0 0 0 0
2786 1 10.791 16.1865 23.3805 0 0 0
1042 1 25.179 5.3955 1.7985 0 0 0
