3801,1
3807,1201
3809,1601
3811,2001
3813,2401
3815,2801
3817,3201
3803,401
3819,3601
3805,801
3802,4
3808,1204
3810,1604
3812,2004
3814,2404
3816,2804
3818,3204
3820,3604
3804,404
3806,804
3861,121
3867,1321
3869,1721
3871,2121
3873,2521
3875,2921
3877,3321
3863,521
3879,3721
3865,921
3862,124
3868,1324
3870,1724
3872,2124
3874,2524
3876,2924
3878,3324
3880,3724
3864,524
3866,924
3881,161
3887,1361
3889,1761
3891,2161
3893,2561
3895,2961
3897,3361
3883,561
3899,3761
3885,961
3882,164
3888,1364
3890,1764
3892,2164
3894,2564
3896,2964
3898,3364
3900,3764
3884,564
3886,964
3901,201
3907,1401
3909,1801
3911,2201
3913,2601
3915,3001
3917,3401
3903,601
3919,3801
3905,1001
3902,204
3908,1404
3910,1804
3912,2204
3914,2604
3916,3004
3918,3404
3920,3804
3904,604
3906,1004
3921,241
3927,1441
3929,1841
3931,2241
3933,2641
3935,3041
3937,3441
3923,641
3939,3841
3925,1041
3922,244
3928,1444
3930,1844
3932,2244
3934,2644
3936,3044
3938,3444
3940,3844
3924,644
3926,1044
3941,281
3947,1481
3949,1881
3951,2281
3953,2681
3955,3081
3957,3481
3943,681
3959,3881
3945,1081
3942,284
3948,1484
3950,1884
3952,2284
3954,2684
3956,3084
3958,3484
3960,3884
3944,684
3946,1084
3961,321
3967,1521
3969,1921
3971,2321
3973,2721
3975,3121
3977,3521
3963,721
3979,3921
3965,1121
3821,41
3827,1241
3829,1641
3831,2041
3833,2441
3835,2841
3837,3241
3823,441
3839,3641
3825,841
3962,324
3968,1524
3970,1924
3972,2324
3974,2724
3976,3124
3978,3524
3980,3924
3964,724
3966,1124
3981,361
3987,1561
3989,1961
3991,2361
3993,2761
3995,3161
3997,3561
3983,761
3999,3961
3985,1161
3982,364
3988,1564
3990,1964
3992,2364
3994,2764
3996,3164
3998,3564
4000,3964
3984,764
3986,1164
3822,44
3828,1244
3830,1644
3832,2044
3834,2444
3836,2844
3838,3244
3840,3644
3824,444
3826,844
3841,81
3847,1281
3849,1681
3851,2081
3853,2481
3855,2881
3857,3281
3843,481
3859,3681
3845,881
3842,84
3848,1284
3850,1684
3852,2084
3854,2484
3856,2884
3858,3284
3860,3684
3844,484
3846,884
3403,3
3415,1203
3419,1603
3423,2003
3427,2403
3431,2803
3435,3203
3439,3603
3407,403
3411,803
3404,2
3416,1202
3420,1602
3424,2002
3428,2402
3432,2802
3436,3202
3408,402
3440,3602
3412,802
3523,123
3535,1323
3539,1723
3543,2123
3547,2523
3551,2923
3555,3323
3559,3723
3527,523
3531,923
3524,122
3536,1322
3540,1722
3544,2122
3548,2522
3552,2922
3556,3322
3528,522
3560,3722
3532,922
3563,163
3575,1363
3579,1763
3583,2163
3587,2563
3591,2963
3595,3363
3599,3763
3567,563
3571,963
3564,162
3576,1362
3580,1762
3584,2162
3588,2562
3592,2962
3596,3362
3568,562
3600,3762
3572,962
3603,203
3615,1403
3619,1803
3623,2203
3627,2603
3631,3003
3635,3403
3639,3803
3607,603
3611,1003
3604,202
3616,1402
3620,1802
3624,2202
3628,2602
3632,3002
3636,3402
3608,602
3640,3802
3612,1002
3643,243
3655,1443
3659,1843
3663,2243
3667,2643
3671,3043
3675,3443
3679,3843
3647,643
3651,1043
3644,242
3656,1442
3660,1842
3664,2242
3668,2642
3672,3042
3676,3442
3648,642
3680,3842
3652,1042
3683,283
3695,1483
3699,1883
3703,2283
3707,2683
3711,3083
3715,3483
3719,3883
3687,683
3691,1083
3684,282
3696,1482
3700,1882
3704,2282
3708,2682
3712,3082
3716,3482
3688,682
3720,3882
3692,1082
3723,323
3735,1523
3739,1923
3743,2323
3747,2723
3751,3123
3755,3523
3759,3923
3727,723
3731,1123
3443,43
3455,1243
3459,1643
3463,2043
3467,2443
3471,2843
3475,3243
3479,3643
3447,443
3451,843
3724,322
3736,1522
3740,1922
3744,2322
3748,2722
3752,3122
3756,3522
3728,722
3760,3922
3732,1122
3763,363
3775,1563
3779,1963
3783,2363
3787,2763
3791,3163
3795,3563
3799,3963
3767,763
3771,1163
3764,362
3776,1562
3780,1962
3784,2362
3788,2762
3792,3162
3796,3562
3768,762
3800,3962
3772,1162
3444,42
3456,1242
3460,1642
3464,2042
3468,2442
3472,2842
3476,3242
3448,442
3480,3642
3452,842
3483,83
3495,1283
3499,1683
3503,2083
3507,2483
3511,2883
3515,3283
3519,3683
3487,483
3491,883
3484,82
3496,1282
3500,1682
3504,2082
3508,2482
3512,2882
3516,3282
3488,482
3520,3682
3492,882
2601,13
2613,1213
2617,1613
2621,2013
2625,2413
2629,2813
2633,3213
2605,413
2637,3613
2609,813
2602,16
2614,1216
2618,1616
2622,2016
2626,2416
2630,2816
2634,3216
2638,3616
2606,416
2610,816
2721,133
2733,1333
2737,1733
2741,2133
2745,2533
2749,2933
2753,3333
2725,533
2757,3733
2729,933
2722,136
2734,1336
2738,1736
2742,2136
2746,2536
2750,2936
2754,3336
2758,3736
2726,536
2730,936
2761,173
2773,1373
2777,1773
2781,2173
2785,2573
2789,2973
2793,3373
2765,573
2797,3773
2769,973
2762,176
2774,1376
2778,1776
2782,2176
2786,2576
2790,2976
2794,3376
2798,3776
2766,576
2770,976
2801,213
2813,1413
2817,1813
2821,2213
2825,2613
2829,3013
2833,3413
2805,613
2837,3813
2809,1013
2802,216
2814,1416
2818,1816
2822,2216
2826,2616
2830,3016
2834,3416
2838,3816
2806,616
2810,1016
2841,253
2853,1453
2857,1853
2861,2253
2865,2653
2869,3053
2873,3453
2845,653
2877,3853
2849,1053
2842,256
2854,1456
2858,1856
2862,2256
2866,2656
2870,3056
2874,3456
2878,3856
2846,656
2850,1056
2881,293
2893,1493
2897,1893
2901,2293
2905,2693
2909,3093
2913,3493
2885,693
2917,3893
2889,1093
2882,296
2894,1496
2898,1896
2902,2296
2906,2696
2910,3096
2914,3496
2918,3896
2886,696
2890,1096
2921,333
2933,1533
2937,1933
2941,2333
2945,2733
2949,3133
2953,3533
2925,733
2957,3933
2929,1133
2641,53
2653,1253
2657,1653
2661,2053
2665,2453
2669,2853
2673,3253
2645,453
2677,3653
2649,853
2922,336
2934,1536
2938,1936
2942,2336
2946,2736
2950,3136
2954,3536
2958,3936
2926,736
2930,1136
2961,373
2973,1573
2977,1973
2981,2373
2985,2773
2989,3173
2993,3573
2965,773
2997,3973
2969,1173
2962,376
2974,1576
2978,1976
2982,2376
2986,2776
2990,3176
2994,3576
2998,3976
2966,776
2970,1176
2642,56
2654,1256
2658,1656
2662,2056
2666,2456
2670,2856
2674,3256
2678,3656
2646,456
2650,856
2681,93
2693,1293
2697,1693
2701,2093
2705,2493
2709,2893
2713,3293
2685,493
2717,3693
2689,893
2682,96
2694,1296
2698,1696
2702,2096
2706,2496
2710,2896
2714,3296
2718,3696
2686,496
2690,896
2203,15
2215,1215
2219,1615
2223,2015
2227,2415
2231,2815
2235,3215
2239,3615
2207,415
2211,815
2204,14
2216,1214
2220,1614
2224,2014
2228,2414
2232,2814
2236,3214
2208,414
2240,3614
2212,814
2323,135
2335,1335
2339,1735
2343,2135
2347,2535
2351,2935
2355,3335
2359,3735
2327,535
2331,935
2324,134
2336,1334
2340,1734
2344,2134
2348,2534
2352,2934
2356,3334
2328,534
2360,3734
2332,934
2363,175
2375,1375
2379,1775
2383,2175
2387,2575
2391,2975
2395,3375
2399,3775
2367,575
2371,975
2364,174
2376,1374
2380,1774
2384,2174
2388,2574
2392,2974
2396,3374
2368,574
2400,3774
2372,974
2403,215
2415,1415
2419,1815
2423,2215
2427,2615
2431,3015
2435,3415
2439,3815
2407,615
2411,1015
2404,214
2416,1414
2420,1814
2424,2214
2428,2614
2432,3014
2436,3414
2408,614
2440,3814
2412,1014
2443,255
2455,1455
2459,1855
2463,2255
2467,2655
2471,3055
2475,3455
2479,3855
2447,655
2451,1055
2444,254
2456,1454
2460,1854
2464,2254
2468,2654
2472,3054
2476,3454
2448,654
2480,3854
2452,1054
2483,295
2495,1495
2499,1895
2503,2295
2507,2695
2511,3095
2515,3495
2519,3895
2487,695
2491,1095
2484,294
2496,1494
2500,1894
2504,2294
2508,2694
2512,3094
2516,3494
2488,694
2520,3894
2492,1094
2523,335
2535,1535
2539,1935
2543,2335
2547,2735
2551,3135
2555,3535
2559,3935
2527,735
2531,1135
2243,55
2255,1255
2259,1655
2263,2055
2267,2455
2271,2855
2275,3255
2279,3655
2247,455
2251,855
2524,334
2536,1534
2540,1934
2544,2334
2548,2734
2552,3134
2556,3534
2528,734
2560,3934
2532,1134
2563,375
2575,1575
2579,1975
2583,2375
2587,2775
2591,3175
2595,3575
2599,3975
2567,775
2571,1175
2564,374
2576,1574
2580,1974
2584,2374
2588,2774
2592,3174
2596,3574
2568,774
2600,3974
2572,1174
2244,54
2256,1254
2260,1654
2264,2054
2268,2454
2272,2854
2276,3254
2248,454
2280,3654
2252,854
2283,95
2295,1295
2299,1695
2303,2095
2307,2495
2311,2895
2315,3295
2319,3695
2287,495
2291,895
2284,94
2296,1294
2300,1694
2304,2094
2308,2494
2312,2894
2316,3294
2288,494
2320,3694
2292,894
2201,17
2213,1217
2217,1617
2221,2017
2225,2417
2229,2817
2233,3217
2205,417
2237,3617
2209,817
2202,20
2214,1220
2218,1620
2222,2020
2226,2420
2230,2820
