File,N_1-1,E_1-1,N_1-2,E_1-2,N_1-3,E_1-3,N_1-4,E_1-4,N_1-5,E_1-5,N_2-2,E_2-2,N_2-3,E_2-3,N_2-4,E_2-4,N_2-5,E_2-5,N_3-3,E_3-3,N_3-4,E_3-4,N_3-5,E_3-5,N_4-4,E_4-4,N_4-5,E_4-5,N_5-5,E_5-5,File_Index,Index,Y_Actual,Y_Predict,Structure
dump_10.csv,126.0,-3.6341260714285712,245.0,-3.705960448979592,314.0,-4.056862117834394,286.0,-3.891751555944056,316.0,-4.058608892405063,196.0,-3.791935025510204,414.0,-4.121153369565217,393.0,-3.961507251908397,417.0,-4.120253393285371,870.0,-4.465216959770115,1099.0,-4.316027561419473,1197.0,-4.460817969924812,498.0,-4.15254422690763,749.0,-4.3140533177570095,930.0,-4.459244946236559,10,2464,188.00596618652344,188.5405,dump_10.lammpstraj
dump_11.csv,115.0,-3.6285594347826087,209.0,-3.709005023923445,295.0,-4.056556322033899,272.0,-3.898608878676471,293.0,-4.060426484641639,197.0,-3.788742614213198,412.0,-4.121012075242718,383.0,-3.9678048041775456,411.0,-4.123857834549878,921.0,-4.462022491856677,1170.0,-4.317168854700855,1283.0,-4.458610565081839,461.0,-4.163065672451193,719.0,-4.318121731571628,905.0,-4.460131337016575,11,228,189.77394104003903,189.64348,dump_11.lammpstraj
dump_12.csv,51.0,-3.6577347058823526,163.0,-3.7327717791411046,200.0,-4.07399175,188.0,-3.916687739361703,201.0,-4.076295,291.0,-3.806874243986254,531.0,-4.134932956685499,491.0,-3.9814962525458246,528.0,-4.137508996212121,989.0,-4.476709337714864,1265.0,-4.329232557312253,1366.0,-4.47309418374817,471.0,-4.171934479830149,721.0,-4.331785665742025,804.0,-4.473363451492538,12,915,191.4962310791016,191.55058,dump_12.lammpstraj
dump_13.csv,80.0,-3.6414391875,180.0,-3.723507888888889,262.0,-4.067002748091603,234.0,-3.903778311965812,261.0,-4.066854559386973,160.0,-3.79309325,364.0,-4.122758228021978,333.0,-3.9691192342342334,366.0,-4.122560983606558,942.0,-4.468111926751592,1194.0,-4.321061302345059,1302.0,-4.463465702764977,487.0,-4.1626659342915815,746.0,-4.320562835120644,942.0,-4.463796884288747,13,794,190.4042053222656,190.34006,dump_13.lammpstraj
dump_14.csv,123.0,-3.637174674796748,224.0,-3.7123532142857134,311.0,-4.051447620578778,287.0,-3.888977648083624,312.0,-4.054069326923076,190.0,-3.788343368421053,402.0,-4.118769054726368,356.0,-3.96199933988764,395.0,-4.119390898734178,990.0,-4.459192787878788,1235.0,-4.312185623481781,1343.0,-4.4563719583023085,472.0,-4.155704375,707.0,-4.313689561527581,847.0,-4.4583265643447465,14,3021,189.81285095214844,190.04874,dump_14.lammpstraj
dump_15.csv,186.0,-3.616373172043011,314.0,-3.6993839490445857,408.0,-4.037036642156862,367.0,-3.8726313896457767,402.0,-4.041516517412935,236.0,-3.782322182203389,453.0,-4.105424735099338,399.0,-3.949936541353384,447.0,-4.110315391498881,940.0,-4.44240729787234,1147.0,-4.294416233653008,1282.0,-4.441692484399376,407.0,-4.134561609336609,634.0,-4.297106624605679,831.0,-4.446207478941036,15,3543,187.97183227539065,187.97586,dump_15.lammpstraj
dump_16.csv,170.0,-3.6215970588235296,259.0,-3.703354749034749,361.0,-4.041549764542936,321.0,-3.8791337383177567,365.0,-4.045499520547945,207.0,-3.790773937198068,411.0,-4.117212238442822,375.0,-3.9638966933333335,413.0,-4.118003365617434,885.0,-4.45428127118644,1076.0,-4.307546212825279,1195.0,-4.452914054393306,460.0,-4.148717141304348,713.0,-4.3104179523141655,918.0,-4.451444940087145,16,1073,187.88047790527344,187.8162,dump_16.lammpstraj
dump_17.csv,99.0,-3.659941060606061,249.0,-3.731141987951807,274.0,-4.069746003649635,260.0,-3.8992849038461537,278.0,-4.074042248201439,411.0,-3.8139359245742095,666.0,-4.138243250750751,630.0,-3.974751992063492,673.0,-4.142942927191679,723.0,-4.468473561549101,927.0,-4.317373176914779,1030.0,-4.469738121359223,454.0,-4.152559240088106,714.0,-4.320268144257703,925.0,-4.472730848648649,17,3351,187.0192413330078,187.10257,dump_17.lammpstraj
dump_18.csv,356.0,-3.5910239887640447,426.0,-3.6741163028169015,574.0,-4.009612195121951,498.0,-3.8442804116465865,586.0,-4.013211518771331,225.0,-3.7670680888888888,424.0,-4.085890849056604,360.0,-3.9278378055555554,427.0,-4.0922036182669785,780.0,-4.415018974358975,937.0,-4.267819397011739,1083.0,-4.417176782086796,336.0,-4.106640148809523,587.0,-4.273664045996592,929.0,-4.425405888051669,18,1744,183.817138671875,183.87018,dump_18.lammpstraj
dump_19.csv,118.0,-3.64813843220339,273.0,-3.7196196886446886,288.0,-4.062588802083333,266.0,-3.900048157894737,289.0,-4.066079636678201,397.0,-3.8063789294710326,635.0,-4.135773543307087,601.0,-3.973326514143095,635.0,-4.137570102362205,787.0,-4.472774243964422,1042.0,-4.320018862763916,1089.0,-4.468321707988981,528.0,-4.160290871212122,785.0,-4.3258650764331215,818.0,-4.472087622249389,19,1084,186.82704162597656,187.3939,dump_19.lammpstraj
dump_20.csv,84.0,-3.635114345238095,174.0,-3.71960025862069,242.0,-4.06127597107438,223.0,-3.898518766816144,240.0,-4.0633137291666666,203.0,-3.803571428571429,420.0,-4.130286535714285,392.0,-3.97221987244898,419.0,-4.131752255369928,934.0,-4.471228377944326,1196.0,-4.322775643812709,1290.0,-4.466887879844961,457.0,-4.167669507658643,724.0,-4.326100013812155,928.0,-4.464920167025863,20,926,190.5533142089844,190.6655,dump_20.lammpstraj
dump_21.csv,57.0,-3.633720350877193,140.0,-3.723622571428571,199.0,-4.067635979899498,182.0,-3.910678818681319,199.0,-4.068921834170855,166.0,-3.799311807228916,376.0,-4.127292194148937,341.0,-3.9732031231671554,375.0,-4.12882804,1020.0,-4.473675240196079,1257.0,-4.3283529832935566,1377.0,-4.469483816267248,464.0,-4.175065129310345,710.0,-4.329516133802817,917.0,-4.469036543075245,21,3049,192.15451049804688,192.16281,dump_21.lammpstraj
dump_22.csv,287.0,-3.597487142857143,475.0,-3.685153042105264,527.0,-4.020447115749525,494.0,-3.853784170040486,498.0,-4.027548112449799,411.0,-3.7751633576642334,661.0,-4.101662397881997,618.0,-3.939658964401295,624.0,-4.110469174679487,917.0,-4.43354858778626,1171.0,-4.279286648163962,1191.0,-4.436540176322418,462.0,-4.114631818181818,676.0,-4.286668402366864,504.0,-4.442378591269842,22,1117,184.7110595703125,184.48312,dump_22.lammpstraj
dump_23.csv,109.0,-3.632044036697248,190.0,-3.7129271315789474,262.0,-4.057260248091604,244.0,-3.893211618852459,267.0,-4.05620670411985,201.0,-3.7967869154228855,404.0,-4.127123391089109,369.0,-3.967596382113821,403.0,-4.126546191066998,952.0,-4.468271244747899,1177.0,-4.3200621367884455,1289.0,-4.462582754072924,475.0,-4.162211105263158,726.0,-4.319739049586777,919.0,-4.4634107072905325,23,642,190.1258544921875,190.05154,dump_23.lammpstraj
